id,SPLIT
4559336-6,0
4562615-X,3
4557216-3,1
4557069-3,0
4557003-6,2
4557035-8,1
4556832-2,4
4568251-3,1
4568254-9,3
4568310-5,1
4570362-3,4
4556457-9,2
4556145-9,0
4556160-5,3
4555586-3,3
4555704-7,1
4555700-X,1
4555703-5,3
4558522-9,4
4569506-9,4
4563992-6,0
4563993-8,0
4563991-4,4
4546342-0,1
4546524-8,3
4546440-1,2
4546278-5,1
4735384-8,1
4735682-8,0
4735683-X,1
4735684-1,2
4735685-3,3
4750324-3,2
4749896-4,0
4749547-9,1
4743646-3,4
4744713-0,3
4745211-0,1
4745160-8,0
4745341-3,3
4745568-0,1
4679659-X,0
4677682-2,2
4677940-1,2
4678250-9,2
4677445-8,1
4677386-6,1
4677542-7,4
4674471-X,2
4674474-5,0
4674473-3,3
4674484-8,3
4674028-0,2
4673141-1,2
4673239-8,1
4663799-5,0
4664799-1,4
4668539-1,1
4669269-2,3
4668988-1,0
4666701-5,1
4664597-9,4
4618551-3,2
4615425-9,0
4614839-0,2
4614220-4,1
4617233-1,3
4617061-7,1
4616904-0,3
4607180-3,1
4607329-2,1
4607479-0,3
4607553-9,0
4604919-8,2
4604907-1,4
4611609-4,3
4609508-7,4
4609452-5,4
4609453-7,2
4597906-X,3
4596423-0,3
4609101-6,4
4609612-3,4
4608436-0,1
4608265-8,0
4608882-5,0
4598682-7,3
4602369-1,3
4603669-1,0
4603162-6,3
4603078-5,3
4589747-4,2
4589704-8,0
4597277-9,1
4597432-8,3
4597246-9,0
4602774-3,4
4602776-7,2
4590358-5,1
4549953-1,2
4550042-0,0
4546567-4,3
4546959-3,2
4547169-6,2
4548274-0,4
4548500-8,3
4642285-2,0
4640974-7,2
4641252-2,2
4641253-4,1
4646180-4,0
4646267-6,4
4646253-6,2
4645889-6,3
4645725-8,2
4645371-6,1
4638134-9,4
4638124-6,2
4637851-4,3
4636740-9,3
4648802-0,1
4685273-2,4
4687374-1,3
4687351-0,4
4688705-9,0
4688204-4,4
4681938-7,0
4681944-2,4
4681955-7,1
4681954-5,1
4676506-7,2
4676509-2,1
4679982-9,0
4679938-6,1
4678802-6,2
4719525-4,2
4724805-2,2
4732752-5,0
4732473-9,1
4732472-7,0
4732408-9,4
4732249-2,1
4729887-X,1
4733092-0,3
4766725-3,0
4766875-1,2
4767053-2,1
4766307-3,1
4766427-3,2
4766413-3,4
4763531-0,3
4763534-6,3
4763543-7,2
4763276-7,0
4762672-1,0
4762674-5,1
4762821-5,4
4762815-X,2
4762277-2,0
4761742-1,1
4761462-3,0
4761284-3,1
4760588-8,1
4760557-8,0
4760197-0,3
4765215-1,2
4775440-1,2
4771891-X,1
4771890-8,1
4771889-1,4
4653805-6,3
4655067-2,4
4655026-X,0
4658474-7,2
4658481-4,4
4658680-1,0
4655633-4,1
4655910-7,1
4655262-2,1
4655261-0,1
4655260-9,4
4656778-5,1
4723788-9,4
4723698-7,1
4723473-3,1
4723408-3,4
4478976-6,3
4479842-2,4
4479585-5,1
4480207-8,1
4503801-4,1
4471428-9,3
4471387-9,4
4471368-5,4
4471420-4,0
4470899-1,4
4470793-6,0
4503304-7,2
4503303-5,4
4503333-3,4
4503412-0,0
4502021-7,4
4502235-6,1
4502234-4,4
4502233-2,3
4502351-9,3
4505279-3,3
4483576-8,4
4484634-4,1
