model,n_folds
albert,5
albert_cal,5
biobert,5
biobert_cal,5
biomistral_paper,5
biomistral_paper_cal,5
biomistral_r128,5
biomistral_r128_cal,5
biomistral_r64,5
biomistral_r64_cal,5
gemma3_12b_paper,5
gemma3_12b_paper_cal,5
gemma3_paper,5
gemma3_paper_cal,5
gemma3_r128,5
gemma3_r128_cal,5
gemma3_r64,5
gemma3_r64_cal,5
gemma4_12b_paper,5
gemma4_12b_paper_cal,5
med_llama_paper,5
med_llama_paper_cal,5
med_llama_r128,5
med_llama_r128_cal,5
med_llama_r64,5
med_llama_r64_cal,5
medgemma_paper,5
medgemma_paper_cal,5
medgemma_r128,5
medgemma_r128_cal,5
medgemma_r64,5
medgemma_r64_cal,5
mediphi_4b_paper,5
mediphi_4b_paper_cal,5
modernbert,5
modernbert_cal,5
phi4_14b_paper,5
phi4_14b_paper_cal,5
pubmedbert,5
pubmedbert_cal,5
qwen4b_paper,5
qwen4b_paper_cal,5
qwen4b_r128,5
qwen4b_r128_cal,5
qwen4b_r64,5
qwen4b_r64_cal,5
qwen9b_paper,5
qwen9b_paper_cal,5
qwen9b_r128,5
qwen9b_r128_cal,5
qwen9b_r64,5
qwen9b_r64_cal,5
xgb,5
xgb_cal,5
